"Date","Price","Open","High","Low","Vol.","Change %"
"05/21/2025","1,062.75","1,052.75","1,067.50","1,052.75","129.77K","0.93%"
"05/20/2025","1,053.00","1,050.75","1,056.75","1,046.25","92.81K","0.21%"
"05/19/2025","1,050.75","1,050.25","1,056.00","1,045.75","78.35K","0.07%"
"05/16/2025","1,050.00","1,052.50","1,059.75","1,047.25","114.73K","-0.12%"
"05/15/2025","1,051.25","1,073.00","1,073.25","1,046.00","172.96K","-1.48%"
"05/14/2025","1,067.00","1,075.00","1,075.00","1,048.25","0.01K","-0.02%"
"05/13/2025","1,067.25","1,069.00","1,071.00","1,069.00","0.03K","0.12%"
"05/12/2025","1,066.00","1,046.00","1,065.00","1,046.00","0.08K","1.35%"
"05/09/2025","1,051.75","1,044.50","1,058.25","1,040.50","116.14K","0.65%"
"05/08/2025","1,045.00","1,039.00","1,048.00","1,036.50","105.08K","0.55%"
"05/07/2025","1,039.25","1,045.00","1,056.00","1,038.25","123.50K","-0.19%"
"05/06/2025","1,041.25","1,045.25","1,046.75","1,036.50","102.32K","-0.41%"
"05/05/2025","1,045.50","1,052.75","1,057.00","1,044.25","84.10K","-1.18%"
"05/02/2025","1,058.00","1,050.25","1,062.00","1,050.00","91.96K","0.74%"
"05/01/2025","1,050.25","1,044.00","1,054.50","1,036.75","84.63K","0.55%"
"04/30/2025","1,044.50","1,052.50","1,054.50","1,038.50","115.20K","-0.78%"
"04/29/2025","1,052.75","1,062.00","1,063.25","1,045.75","149.00K","-0.92%"
"04/28/2025","1,062.50","1,058.50","1,064.00","1,051.50","134.45K","0.31%"
"04/25/2025","1,059.25","1,062.00","1,067.50","1,056.50","124.43K","-0.26%"
"04/24/2025","1,062.00","1,049.75","1,063.50","1,048.00","148.40K","1.12%"
"04/23/2025","1,050.25","1,048.00","1,057.50","1,045.25","140.32K","0.41%"
"04/22/2025","1,046.00","1,042.00","1,051.50","1,041.00","94.81K","0.43%"
"04/21/2025","1,041.50","1,050.25","1,054.75","1,040.75","71.98K","0.48%"
"04/17/2025","1,036.50","1,038.00","1,045.25","1,032.00","88.27K","-0.22%"
"04/16/2025","1,038.75","1,035.25","1,045.75","1,028.00","113.59K","0.27%"
"04/15/2025","1,036.00","1,040.50","1,041.25","1,030.75","126.99K","-0.55%"
"04/14/2025","1,041.75","1,040.75","1,049.50","1,036.75","117.32K","-0.10%"
"04/11/2025","1,042.75","1,026.50","1,044.50","1,021.75","191.95K","1.34%"
"04/10/2025","1,029.00","1,015.25","1,029.50","1,010.75","192.96K","1.60%"
"04/09/2025","1,012.75","989.00","1,015.50","987.50","205.52K","2.01%"
"04/08/2025","992.75","983.25","1,002.25","982.50","216.12K","0.99%"
"04/07/2025","983.00","971.75","993.50","969.50","272.59K","0.61%"
"04/04/2025","977.00","1,011.00","1,012.75","970.25","269.76K","-3.41%"
"04/03/2025","1,011.50","1,011.00","1,020.25","1,005.25","169.50K","-1.75%"
"04/02/2025","1,029.50","1,032.00","1,033.00","1,024.50","129.99K","-0.46%"
"04/01/2025","1,034.25","1,014.75","1,034.75","1,010.50","167.01K","1.92%"
"03/31/2025","1,014.75","1,023.00","1,031.50","1,013.25","160.04K","-0.81%"
