"Date","Price","Open","High","Low","Vol.","Change %"
"12/17/2024","443.50","445.00","446.75","441.25","164.42K","-0.34%"
"12/16/2024","445.00","441.25","445.75","441.25","157.17K","3.49%"
"12/13/2024","430.00","434.25","434.25","426.25","0.02K","-0.41%"
"12/12/2024","431.75","436.50","439.00","431.75","0.33K","-3.68%"
"12/11/2024","448.25","448.00","451.25","447.75","265.28K","-0.17%"
"12/10/2024","449.00","441.00","450.00","440.75","296.08K","1.64%"
"12/09/2024","441.75","439.25","442.00","437.50","228.24K","0.40%"
"12/06/2024","440.00","435.00","440.50","434.50","216.79K","1.15%"
"12/05/2024","435.00","429.50","436.00","428.25","164.27K","1.16%"
"12/04/2024","430.00","432.00","433.50","429.50","138.43K","-0.52%"
"12/03/2024","432.25","433.00","436.00","431.00","150.61K","-0.06%"
"12/02/2024","432.50","433.00","435.00","429.75","173.21K","-0.12%"
"11/29/2024","433.00","428.00","433.75","427.25","124.10K","1.17%"
"11/27/2024","428.00","427.75","431.00","427.50","264.98K","0.00%"
"11/26/2024","428.00","432.50","434.00","425.50","323.71K","-1.15%"
"11/25/2024","433.00","434.75","435.75","431.75","271.40K","-0.52%"
"11/22/2024","435.25","436.25","439.00","434.50","175.79K","-0.23%"
"11/21/2024","436.25","439.75","442.25","435.75","184.04K","-0.85%"
"11/20/2024","440.00","437.25","441.75","435.00","184.19K","0.51%"
"11/19/2024","437.75","439.00","441.75","437.00","165.89K","-0.45%"
"11/18/2024","439.75","434.75","440.00","433.00","149.25K","3.71%"
"11/15/2024","424.00","418.75","425.00","417.00","218.57K","1.19%"
"11/14/2024","419.00","426.00","428.00","418.25","292.27K","-1.76%"
"11/13/2024","426.50","428.50","429.75","424.25","235.17K","-0.47%"
"11/12/2024","428.50","429.75","433.50","426.75","250.50K","-0.35%"
"11/11/2024","430.00","430.00","432.00","426.50","250.21K","-0.23%"
"11/08/2024","431.00","427.50","434.75","426.75","347.31K","0.82%"
"11/07/2024","427.50","425.75","428.50","422.25","310.58K","0.29%"
"11/06/2024","426.25","418.00","426.75","414.25","283.19K","1.85%"
"11/05/2024","418.50","416.25","419.75","415.25","167.93K","0.48%"
"11/04/2024","416.50","414.00","420.00","413.00","219.14K","0.48%"
"11/01/2024","414.50","410.75","415.75","410.50","197.41K","0.91%"
"10/31/2024","410.75","411.50","412.75","409.25","238.81K","-0.18%"
"10/30/2024","411.50","413.25","414.25","411.00","170.09K","-0.54%"
"10/29/2024","413.75","410.00","414.75","410.00","197.43K","0.73%"
"10/28/2024","410.75","413.25","414.75","410.00","251.36K","-1.08%"
"10/25/2024","415.25","420.50","421.00","414.50","247.61K","-1.48%"
"10/24/2024","421.50","418.75","424.00","418.25","287.99K","0.60%"
"10/23/2024","419.00","416.00","420.00","414.00","246.01K","0.60%"
"10/22/2024","416.50","409.00","417.00","408.25","267.22K","1.71%"
"10/21/2024","409.50","403.75","411.75","403.00","241.76K","1.17%"
"10/18/2024","404.75","406.75","409.50","403.75","193.54K","-0.49%"
"10/17/2024","406.75","404.50","407.50","399.00","255.48K","0.49%"
"10/16/2024","404.75","401.25","406.75","401.00","214.29K","0.87%"
"10/15/2024","401.25","408.00","408.00","400.50","305.40K","-1.71%"
"10/14/2024","408.25","415.00","415.25","407.50","257.78K","-1.80%"
"10/11/2024","415.75","418.50","422.75","415.25","224.07K","-0.66%"
"10/10/2024","418.50","421.00","424.00","418.00","171.36K","-0.59%"
"10/09/2024","421.00","420.25","423.50","420.00","148.82K","0.06%"
"10/08/2024","420.75","426.00","428.00","419.25","229.66K","-1.23%"
"10/07/2024","426.00","424.00","427.00","421.25","161.44K","0.29%"
"10/04/2024","424.75","427.50","427.50","423.00","165.35K","-0.82%"
"10/03/2024","428.25","431.50","433.25","427.50","181.33K","-0.98%"
"10/02/2024","432.50","428.50","434.25","428.50","239.75K","0.82%"
"10/01/2024","429.00","423.50","432.50","421.75","262.76K","1.00%"
"09/30/2024","424.75","416.50","427.75","415.50","272.93K","1.61%"
"09/27/2024","418.00","413.00","419.75","410.75","218.58K","1.15%"
"09/26/2024","413.25","414.75","419.25","412.50","204.87K","-0.48%"
"09/25/2024","415.25","411.75","415.50","408.50","158.96K","0.85%"
"09/24/2024","411.75","413.00","418.25","410.00","210.50K","-0.42%"
"09/23/2024","413.50","401.50","414.25","401.25","228.07K","2.92%"
"09/20/2024","401.75","406.00","407.25","401.50","178.23K","-0.99%"
"09/19/2024","405.75","412.25","413.00","405.25","166.20K","-1.70%"
"09/18/2024","412.75","412.00","415.00","411.00","134.64K","0.06%"
"09/17/2024","412.50","410.00","413.00","408.50","123.97K","0.43%"
"09/16/2024","410.75","413.00","413.00","408.50","150.82K","5.12%"
"09/13/2024","390.75","381.25","394.00","381.00","0.04K","1.17%"
"09/12/2024","386.25","380.50","387.50","380.50","0.12K","1.51%"
"09/11/2024","380.50","379.75","381.25","377.00","0.12K","0.26%"
"09/10/2024","379.50","382.75","382.75","380.00","0.30K","-1.24%"
"09/09/2024","384.25","383.75","385.25","381.00","0.38K","-5.42%"
"09/06/2024","406.25","410.00","416.00","405.50","174.63K","-1.10%"
"09/05/2024","410.75","412.75","413.25","406.75","162.78K","-0.48%"
"09/04/2024","412.75","408.75","413.50","407.50","205.92K","0.86%"
"09/03/2024","409.25","400.50","410.00","398.50","238.85K","2.06%"
"08/30/2024","401.00","395.00","401.75","394.50","187.44K","1.26%"
"08/29/2024","396.00","390.00","396.25","389.25","236.85K","1.34%"
"08/28/2024","390.75","392.25","394.00","388.75","270.54K","-0.51%"
"08/27/2024","392.75","385.75","394.50","385.00","283.62K","1.62%"
"08/26/2024","386.50","390.75","391.00","385.00","251.69K","-1.15%"
"08/23/2024","391.00","393.25","396.25","390.75","190.43K","-0.64%"
"08/22/2024","393.50","398.50","399.00","393.00","189.30K","-1.19%"
"08/21/2024","398.25","397.75","400.50","396.50","148.03K","0.06%"
"08/20/2024","398.00","400.00","401.00","397.75","156.42K","-0.56%"
"08/19/2024","400.25","392.00","400.75","391.75","201.01K","1.97%"
"08/16/2024","392.50","396.00","397.50","390.00","215.49K","-1.13%"
"08/15/2024","397.00","400.75","403.75","396.25","217.11K","-0.94%"
"08/14/2024","400.75","397.00","401.75","395.50","175.72K","0.88%"
"08/13/2024","397.25","401.00","403.00","395.25","212.08K","-1.06%"
"08/12/2024","401.50","394.75","403.00","390.25","295.71K","1.65%"
"08/09/2024","395.00","396.75","399.00","393.50","182.30K","-0.50%"
"08/08/2024","397.00","401.00","403.75","396.25","184.32K","-0.94%"
"08/07/2024","400.75","404.25","404.75","399.00","207.13K","-1.11%"
"08/06/2024","405.25","407.00","409.00","402.00","135.71K","-0.43%"
"08/05/2024","407.00","402.25","407.75","396.00","172.74K","0.93%"
"08/02/2024","403.25","399.25","404.75","398.50","150.81K","1.19%"
"08/01/2024","398.50","399.75","400.75","395.00","152.32K","-0.31%"
"07/31/2024","399.75","404.50","406.50","397.75","207.18K","-1.30%"
"07/30/2024","405.00","412.00","412.75","404.00","136.87K","-1.76%"
"07/29/2024","412.25","407.50","413.00","405.50","169.46K","0.55%"
"07/26/2024","410.00","421.00","421.75","409.25","161.57K","-2.55%"
"07/25/2024","420.75","417.25","423.50","416.25","155.68K","0.66%"
"07/24/2024","418.00","416.50","423.75","414.50","166.66K","0.18%"
"07/23/2024","417.25","413.75","422.50","411.75","175.65K","0.54%"
"07/22/2024","415.00","405.25","415.50","405.25","170.64K","2.53%"
"07/19/2024","404.75","405.00","410.75","404.00","113.81K","-0.06%"
"07/18/2024","405.00","412.00","413.00","404.25","123.13K","-1.64%"
"07/17/2024","411.75","408.75","413.25","408.25","136.92K","0.73%"
"07/16/2024","408.75","403.25","411.00","403.25","146.69K","1.11%"
"07/15/2024","404.25","416.00","416.00","403.25","168.50K","0.56%"
"07/12/2024","402.00","400.00","404.75","391.00","211.32K","0.44%"
"07/11/2024","400.25","395.25","403.00","394.75","197.07K","1.14%"
"07/10/2024","395.75","393.75","398.00","390.75","221.92K","0.44%"
"07/09/2024","394.00","393.50","398.75","391.75","158.71K","0.19%"
