"Date","Price","Open","High","Low","Vol.","Change %"
"10/24/2018","499.50","510.00","510.75","496.75","76.18K","-1.87%"
"10/23/2018","509.00","508.00","511.25","505.25","47.85K","0.20%"
"10/22/2018","508.00","514.00","514.25","507.25","47.98K","-1.31%"
"10/19/2018","514.75","513.00","518.50","510.75","45.87K","0.34%"
"10/18/2018","513.00","516.00","519.50","511.00","42.08K","-0.87%"
"10/17/2018","517.50","524.00","524.50","516.00","39.43K","-1.15%"
"10/16/2018","523.50","525.75","527.00","521.00","50.82K","-0.29%"
"10/15/2018","525.00","518.50","526.00","514.75","53.49K","1.50%"
"10/12/2018","517.25","507.75","519.00","507.25","54.23K","1.82%"
"10/11/2018","508.00","510.75","521.00","506.50","71.25K","-0.49%"
"10/10/2018","510.50","516.75","518.00","510.25","42.67K","-0.87%"
"10/09/2018","515.00","513.50","520.50","511.25","47.60K","0.19%"
"10/08/2018","514.00","524.00","525.50","512.75","54.16K","-1.34%"
"10/05/2018","521.00","518.00","524.50","517.25","49.35K","0.58%"
"10/04/2018","518.00","515.75","520.75","513.75","53.59K","0.53%"
"10/03/2018","515.25","521.25","527.25","514.25","65.96K","-0.77%"
"10/02/2018","519.25","510.50","524.75","505.25","92.44K","1.91%"
"10/01/2018","509.50","510.00","515.25","505.50","69.14K","0.10%"
"09/28/2018","509.00","513.00","518.00","505.50","74.08K","-0.78%"
"09/27/2018","513.00","517.75","522.00","511.25","58.59K","-0.87%"
"09/26/2018","517.50","521.25","527.00","516.75","46.39K","-0.62%"
"09/25/2018","520.75","525.25","525.75","516.25","62.77K","-1.19%"
"09/24/2018","527.00","522.00","531.25","520.00","55.28K","1.01%"
"09/21/2018","521.75","521.00","524.25","515.00","43.33K","-0.43%"
"09/20/2018","524.00","523.00","525.75","516.00","58.42K","0.29%"
"09/19/2018","522.50","511.00","523.25","510.50","59.63K","2.35%"
"09/18/2018","510.50","506.25","514.25","506.25","58.18K","0.84%"
"09/17/2018","506.25","513.50","517.75","505.50","72.04K","5.47%"
"09/14/2018","480.00","478.50","479.75","478.50","0.26K","1.75%"
"09/13/2018","471.75","473.00","473.00","473.00","0.00K","-2.08%"
"09/12/2018","481.75","500.50","503.50","478.00","0.03K","-2.43%"
"09/11/2018","493.75","497.25","497.25","497.25","0.00K","-2.03%"
"09/10/2018","504.00","488.00","498.50","488.00","0.05K","3.65%"
"09/07/2018","486.25","487.00","487.25","487.00","0.10K","0.05%"
"09/06/2018","486.00","490.00","492.25","487.75","0.24K","-1.57%"
"09/05/2018","493.75","501.00","507.50","495.00","0.84K","-1.79%"
"09/04/2018","502.75","507.25","507.25","491.75","2.25K","-6.68%"
"09/03/2018","538.75","537.75","539.00","537.75","","3.91%"
"08/31/2018","518.50","509.50","522.25","509.50","0.67K","2.07%"
"08/30/2018","508.00","517.50","525.00","502.50","15.48K","-1.50%"
"08/29/2018","515.75","498.00","520.00","496.00","21.64K","3.51%"
"08/28/2018","498.25","500.25","504.25","494.75","22.07K","-0.20%"
"08/27/2018","499.25","513.75","513.75","499.00","23.19K","-3.01%"
